date,chair,regime,action,ff_target,emergency,spy_close,spy_pre5,spy_d0,spy_p1,spy_p2,spy_p3,spy_p5,spy_p10,tlt_close,tlt_pre5,tlt_d0,tlt_p1,tlt_p2,tlt_p3,tlt_p5,tlt_p10
2018-01-31,Yellen,Unknown,Hold,1.25-1.50,False,281.9,-0.54,0.05,-0.114,-2.288,-6.375,-5.048,-4.367,122.73,-1.374,0.59,-1.654,-2.567,-1.646,-3.186,-4.123
2018-03-21,Powell,Tightening,Hike,1.50-1.75,False,270.43,-2.085,-0.192,-2.5,-4.578,-1.967,-3.92,-1.771,119.08,-0.201,0.109,0.991,0.915,0.529,1.873,0.596
2018-05-02,Powell,Tightening,Hold,1.50-1.75,False,263.2,0.761,-0.672,-0.22,1.071,1.413,2.394,3.435,118.28,0.39,-0.11,0.448,0.6,0.44,-0.254,-1.251
2018-06-13,Powell,Tightening,Hike,1.75-2.00,False,278.03,1.389,-0.319,0.252,-0.324,-0.529,-0.741,-3.122,119.28,-0.309,-0.05,0.83,0.922,0.83,0.528,2.373
2018-08-01,Powell,Tightening,Hold,1.75-2.00,False,280.86,-0.099,-0.167,0.545,0.976,1.346,1.638,0.328,118.46,0.017,-1.036,0.144,0.642,0.701,0.279,2.009
2018-09-26,Powell,Tightening,Hike,2.00-2.25,False,289.88,-0.055,-0.299,0.279,0.29,0.638,0.635,-3.995,117.5,-0.537,0.703,0.068,-0.196,-1.149,-2.272,-3.413
2018-11-08,Powell,Tightening,Hold,2.00-2.25,False,280.5,3.835,-0.181,-0.977,-2.827,-3.009,-2.667,-6.15,112.51,-0.933,-0.009,0.747,1.404,1.342,1.36,2.338
2018-12-19,Powell,Tightening,Hike,2.25-2.50,False,251.26,-3.426,-1.498,-1.628,-4.203,-6.734,-1.27,0.45,121.18,0.606,1.321,-0.363,-0.38,0.116,-0.941,0.767
2019-01-30,Powell,Tightening,Hold,2.25-2.50,False,267.58,0.209,1.583,0.878,0.927,1.637,1.928,2.769,120.93,0.54,-0.074,0.86,0.025,-0.422,0.083,0.141
2019-03-20,Powell,Tightening,Hold,2.25-2.50,False,281.55,1.041,-0.301,1.129,-0.817,-0.891,-0.675,1.73,122.68,-0.533,1.046,0.22,1.777,1.94,2.804,0.685
2019-05-01,Powell,Tightening,Hold,2.25-2.50,False,291.81,0.389,-0.752,-0.216,0.761,0.346,-1.467,-2.313,123.9,0.881,0.202,-0.476,-0.194,0.081,0.412,1.8
2019-06-19,Powell,Tightening,Hold,2.25-2.50,False,293.06,1.211,0.226,0.955,0.321,0.198,-0.884,1.959,132.54,1.355,0.144,0.264,-0.837,-0.098,-0.43,1.26
2019-07-31,Powell,Easing,Cut,2.00-2.25,False,297.43,0.23,-1.094,-0.871,-1.617,-4.576,-3.181,-4.549,132.89,0.465,0.804,1.783,2.724,4.5,5.373,9.632
2019-09-18,Powell,Easing,Cut,1.75-2.00,False,301.1,0.936,0.06,-0.007,-0.937,-0.96,-1.156,-4.331,139.62,-1.18,0.424,0.301,1.626,1.604,1.325,2.858
2019-10-30,Powell,Easing,Cut,1.50-1.75,False,304.14,1.405,0.307,-0.266,0.658,1.062,0.973,1.631,139.36,-1.428,1.463,1.349,0.861,-0.466,-0.99,-2.052
2019-12-11,Powell,Easing,Hold,1.50-1.75,False,314.42,1.286,0.284,0.862,0.922,1.616,1.644,2.71,139.75,-1.806,0.786,-1.646,-0.508,-1.403,-2.347,-1.846
2020-01-29,Powell,Easing,Hold,1.50-1.75,False,326.62,-1.331,-0.083,0.325,-1.497,-0.765,1.91,3.307,144.56,2.646,0.978,0.014,0.927,0.678,-1.764,-0.823
2020-03-03,Powell,Easing,Cut,1.00-1.25,True,300.24,-4.134,-2.863,4.203,0.739,-0.926,-3.937,-15.801,156.33,2.456,1.553,-1.062,1.401,6.678,3.953,-2.143
2020-03-15,Powell,Easing,Cut,0.00-0.25,True,239.85,-9.46,-10.942,5.399,0.063,0.275,-7.046,9.089,163.91,-7.693,6.477,-6.668,-11.933,-9.536,1.275,1.47
2020-04-29,Powell,Easing,Hold,0.00-0.25,False,293.21,4.648,2.618,-0.931,-3.554,-3.288,-3.056,-3.96,168.71,-0.992,-0.519,-1.168,-0.45,-0.919,-3.141,-1.891
2020-06-10,Powell,Easing,Hold,0.00-0.25,False,319.0,4.126,-0.558,-5.765,-4.636,-3.746,-2.301,-4.674,160.84,-1.979,1.483,1.89,0.908,0.964,-0.174,1.362
2020-07-29,Powell,Easing,Hold,0.00-0.25,False,325.12,-1.182,1.23,-0.357,0.431,1.129,2.15,3.789,169.99,1.787,-0.17,0.659,0.594,-0.024,0.047,-2.588
2020-09-16,Powell,Easing,Hold,0.00-0.25,False,338.82,2.089,-0.397,-0.88,-2.411,-3.497,-4.775,-1.16,163.58,0.202,-0.299,0.306,-0.006,0.501,0.556,-0.196
2020-11-05,Powell,Easing,Hold,0.00-0.25,False,350.24,5.167,1.95,-0.023,1.233,1.085,0.848,2.153,161.36,0.236,0.174,-1.208,-3.285,-3.842,-1.853,-0.787
2020-12-16,Powell,Easing,Hold,0.00-0.25,False,370.17,-0.157,0.157,0.559,-0.267,-0.624,-0.702,1.002,157.38,0.292,-0.266,-0.369,-0.667,-0.273,-0.451,0.222
2021-01-27,Powell,Easing,Hold,0.00-0.25,False,374.41,1.357,-2.444,0.86,-1.159,0.486,1.987,4.185,153.77,0.703,0.254,-0.553,-1.151,-1.151,-2.66,-2.595
2021-03-17,Powell,Easing,Hold,0.00-0.25,False,397.26,2.257,0.341,-1.455,-1.958,-1.176,-2.452,-0.234,135.29,-2.455,-0.748,-1.013,-0.399,0.717,2.173,0.118
2021-04-28,Powell,Easing,Hold,0.00-0.25,False,417.4,1.298,-0.029,0.637,-0.024,0.192,-0.395,-2.873,138.73,-0.616,0.065,-0.296,-0.065,-0.151,0.692,-2.256
2021-06-16,Powell,Easing,Hold,0.00-0.25,False,422.11,0.521,-0.558,-0.033,-1.703,-0.296,0.116,1.41,140.93,0.427,-0.085,1.497,3.406,1.675,1.66,2.427
2021-07-28,Powell,Easing,Hold,0.00-0.25,False,438.83,1.844,-0.041,0.415,-0.073,-0.283,0.034,1.128,149.65,-0.24,0.007,-0.555,-0.087,0.682,0.942,-2.118
2021-09-22,Powell,Easing,Hold,0.00-0.25,False,437.86,-2.373,0.975,1.215,1.382,1.092,-0.779,-0.676,151.79,-0.146,0.596,-2.26,-3.215,-3.571,-4.908,-4.875
2021-11-03,Powell,Easing,Hold,0.00-0.25,False,464.72,1.303,0.611,0.471,0.82,0.906,-0.237,0.736,145.57,1.371,-1.033,1.051,2.562,2.37,1.807,0.474
